run_id,strategy_id,strategy_name,start,end,days,total_return,annualized,max_drawdown,sharpe,trade_count,final_equity,benchmark_return,artifact,data_size,sha256,verdict
not_available:dividend_cross_section#sl30w10,dividend_cross_section#sl30w10,"红利横截面(止损30%,单股10%)",,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section#sl30w20,dividend_cross_section#sl30w20,"红利横截面(止损30%,单股20%)",,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_take_profit,dividend_cross_section_take_profit,红利横截面(分级追踪止盈),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_take_profit,dividend_cross_section_partial_take_profit,红利横截面(分段减仓止盈),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_atr_take_profit,dividend_cross_section_atr_take_profit,红利横截面(ATR分段减仓止盈),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_atr_lagged_take_profit,dividend_cross_section_atr_lagged_take_profit,红利横截面(滞后ATR分段减仓止盈),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_brake_take_profit,dividend_cross_section_partial_brake_take_profit,红利横截面(分段止盈+组合回撤刹车),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_gentle_brake_take_profit,dividend_cross_section_partial_gentle_brake_take_profit,红利横截面(分段止盈+平滑组合刹车),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_selective_brake_take_profit,dividend_cross_section_partial_selective_brake_take_profit,红利横截面(分段止盈+选择性组合刹车),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_take_profit,dividend_cross_section_partial_exposure_brake_take_profit,红利横截面(分段止盈+深度分级敞口刹车),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_take_profit#deep,dividend_cross_section_partial_exposure_brake_take_profit#deep,红利横截面(分段止盈+深度刹车·仅深度触发),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_take_profit#rec125,dividend_cross_section_partial_exposure_brake_take_profit#rec125,红利横截面(分段止盈+深度刹车+125日新高解除),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_drawdown_add_gated_take_profit,dividend_cross_section_partial_drawdown_add_gated_take_profit,红利横截面(分段止盈+回撤加仓质量门控),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_add_gated_take_profit,dividend_cross_section_partial_exposure_add_gated_take_profit,红利横截面(分段止盈+分级敞口刹车+回撤加仓质量门控),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_hold_take_profit,dividend_cross_section_partial_exposure_brake_hold_take_profit,红利横截面(分段止盈+分级敞口刹车+买卖不对称滞回),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_add_gated_hold_take_profit,dividend_cross_section_partial_exposure_add_gated_hold_take_profit,红利横截面(分段止盈+分级敞口刹车+回撤加仓门控+买卖不对称滞回),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_regime_trend_take_profit,dividend_cross_section_partial_exposure_brake_regime_trend_take_profit,红利横截面(分段止盈+深度刹车+趋势regime),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_regime_vol_take_profit,dividend_cross_section_partial_exposure_brake_regime_vol_take_profit,红利横截面(分段止盈+深度刹车+波动率定权),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_cross_section_partial_exposure_brake_regime_trendvol_take_profit,dividend_cross_section_partial_exposure_brake_regime_trendvol_take_profit,红利横截面(分段止盈+深度刹车+趋势&波动率双regime),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:amplitude,amplitude,低振幅横截面(日内极差防御),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:bias_reversal,bias_reversal,乖离率反转横截面(深度超跌优先),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:bollinger_reversion,bollinger_reversion,"布林均值回归(日+周,中下轨买/中上轨卖)",,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:bollinger_reversion_cross_section,bollinger_reversion_cross_section,布林回归横截面(日+周布林+RSI),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:cn_momentum_rotation,cn_momentum_rotation,降换手动量轮动,,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:cross_section_factor,cross_section_factor,横截面多因子(反转+低波+价值),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:dividend_low_vol,dividend_low_vol,红利低波(高股息+低波动+低估值),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:etf_momentum_cross_section,etf_momentum_cross_section,ETF动量横截面(动量+线性度+趋势),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:etf_momentum_rotation,etf_momentum_rotation,ETF动量轮动,,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:intraday_return,intraday_return,日内动量横截面(高日内收益优先),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:limit_up_count,limit_up_count,涨停计数反转横截面(规避连板妖股),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:low_downside_vol,low_downside_vol,低下行波动横截面(半方差防御),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:low_skewness,low_skewness,负偏度防御横截面(规避彩票型收益),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:macd_cross,macd_cross,MACD金叉死叉,,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:momentum_breakout_cross_section,momentum_breakout_cross_section,动量突破横截面(月布林+动量+趋势),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:near_52w_low,near_52w_low,52周低点反转横截面(贴近低点优先),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:overnight_reversal,overnight_reversal,隔夜反转横截面(低隔夜收益优先),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:pure_factor,pure_factor,纯因子动量反转,,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:residual_reversal,residual_reversal,残差反转横截面(市场调整后超跌优先),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:reversal_cross_section,reversal_cross_section,反转横截面(短期反转+RSI+低估),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:reversal_strategy,reversal_strategy,反转均值回归(短期反转+RSI超卖+低估),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:rsi_reversal,rsi_reversal,RSI超卖反转横截面(低RSI优先),,,,,,,,,,,not_available,not_available,not_available,not_available
not_available:volume_drought,volume_drought,量能枯竭反转横截面(缩量企稳优先),,,,,,,,,,,not_available,not_available,not_available,not_available
