id,sector_name,snap_date,open,high,low,close,pct_chg,volume,amount
1,半导体,2022-06-01,6506.914,6624.149,6494.865,6581.141,,964822630.0,34921797000.0
2,半导体,2022-06-02,6566.339,6875.169,6542.569,6866.06,4.33,1206052770.0,47450185000.0
3,半导体,2022-06-06,6892.471,7109.322,6888.71,7088.412,3.24,1493442500.0,54911388000.0
4,半导体,2022-06-07,7088.983,7099.501,6911.908,6963.476,-1.76,1159033330.0,44278607000.0
5,半导体,2022-06-08,6958.629,7013.546,6759.755,6880.677,-1.19,1039479170.0,41766874000.0
6,半导体,2022-06-09,6865.85,6865.998,6607.795,6647.754,-3.39,951949390.0,38945308000.0
7,半导体,2022-06-10,6607.661,6782.029,6602.05,6776.169,1.93,1109671300.0,47459142000.0
8,半导体,2022-06-13,6720.579,6820.243,6689.801,6757.863,-0.27,1063308300.0,41372287000.0
9,半导体,2022-06-14,6693.669,6693.669,6423.034,6616.548,-2.09,1234600660.0,44427647000.0
10,半导体,2022-06-15,6617.839,6802.797,6617.076,6684.886,1.03,1351743600.0,45915587000.0
11,半导体,2022-06-16,6700.221,6898.852,6700.221,6826.546,2.12,1401151800.0,46247839000.0
12,半导体,2022-06-17,6768.301,6842.225,6683.211,6823.274,-0.05,1195905390.0,41370283000.0
13,半导体,2022-06-20,6842.429,6932.264,6802.151,6867.439,0.65,1282081760.0,46776255000.0
14,半导体,2022-06-21,6864.169,6922.059,6773.288,6849.635,-0.26,1224883520.0,43210210000.0
15,半导体,2022-06-22,6857.728,6863.192,6685.122,6685.122,-2.4,1237455440.0,43343141000.0
16,半导体,2022-06-23,6690.443,6954.81,6689.088,6954.686,4.03,1476521600.0,48122392000.0
17,半导体,2022-06-24,6982.831,7107.342,6960.018,7052.972,1.41,1827746800.0,60351152000.0
18,半导体,2022-06-27,7085.179,7132.0,7018.044,7113.896,0.86,1647033700.0,56594051000.0
19,半导体,2022-06-28,7109.69,7355.164,6997.859,7340.262,3.18,2053891800.0,71464149000.0
20,半导体,2022-06-29,7312.064,7455.686,7182.878,7182.878,-2.14,2307500000.0,79724273000.0
21,半导体,2022-06-30,7186.608,7360.158,7175.427,7313.522,1.82,1817950400.0,61530555000.0
22,半导体,2022-07-01,7312.484,7378.979,7221.849,7249.993,-0.87,1484987900.0,54375334000.0
23,半导体,2022-07-04,7184.929,7185.439,6975.338,7097.266,-2.11,1614098800.0,61031237000.0
24,半导体,2022-07-05,7094.453,7153.035,6919.677,7008.767,-1.25,1603557900.0,50530722000.0
