id,asset_code,ex_date,record_date,announce_date,per_share_cash,currency,source
73,601899,2025-09-30,,,0.22,CNY,akshare:stock_fhps_detail_em
74,601899,2025-06-13,,,0.28,CNY,akshare:stock_fhps_detail_em
75,601899,2024-08-09,,,0.1,CNY,akshare:stock_fhps_detail_em
76,601899,2024-06-11,,,0.2,CNY,akshare:stock_fhps_detail_em
77,601899,2023-12-25,,,0.05,CNY,akshare:stock_fhps_detail_em
78,601899,2023-06-15,,,0.2,CNY,akshare:stock_fhps_detail_em
79,601899,2022-06-10,,,0.2,CNY,akshare:stock_fhps_detail_em
80,600900,2026-02-12,,,0.21,CNY,akshare:stock_fhps_detail_em
81,600900,2025-12-31,,,0.79,CNY,akshare:stock_fhps_detail_em
82,600900,2025-07-18,,,0.733,CNY,akshare:stock_fhps_detail_em
83,600900,2025-01-24,,,0.21,CNY,akshare:stock_fhps_detail_em
84,600900,2024-07-19,,,0.82,CNY,akshare:stock_fhps_detail_em
85,600900,2023-07-21,,,0.8533,CNY,akshare:stock_fhps_detail_em
86,600900,2022-07-21,,,0.8153,CNY,akshare:stock_fhps_detail_em
87,600900,2021-07-16,,,0.7,CNY,akshare:stock_fhps_detail_em
88,000625,2025-12-31,,,0.115,CNY,akshare:stock_fhps_detail_em
89,000625,2025-11-28,,,0.05,CNY,akshare:stock_fhps_detail_em
90,000625,2025-07-23,,,0.295,CNY,akshare:stock_fhps_detail_em
91,000625,2024-05-24,,,0.343,CNY,akshare:stock_fhps_detail_em
92,000625,2023-07-12,,,0.236,CNY,akshare:stock_fhps_detail_em
93,000625,2022-06-27,,,0.179231,CNY,akshare:stock_fhps_detail_em
94,000625,2021-07-01,,,0.218571,CNY,akshare:stock_fhps_detail_em
95,000625,2019-07-26,,,0.018,CNY,akshare:stock_fhps_detail_em
96,002236,2026-05-26,,,0.37,CNY,akshare:stock_fhps_detail_em
97,002236,2025-12-09,,,0.185,CNY,akshare:stock_fhps_detail_em
98,002236,2025-04-30,,,0.458,CNY,akshare:stock_fhps_detail_em
99,002236,2024-09-20,,,0.184,CNY,akshare:stock_fhps_detail_em
100,002236,2024-05-22,,,0.382,CNY,akshare:stock_fhps_detail_em
101,002236,2023-11-16,,,0.310138,CNY,akshare:stock_fhps_detail_em
102,002236,2023-06-06,,,0.241,CNY,akshare:stock_fhps_detail_em
103,002236,2022-06-01,,,0.27,CNY,akshare:stock_fhps_detail_em
104,600886,2025-12-31,,,0.5081,CNY,akshare:stock_fhps_detail_em
105,600886,2025-08-08,,,0.4565,CNY,akshare:stock_fhps_detail_em
106,600886,2024-08-09,,,0.4948,CNY,akshare:stock_fhps_detail_em
107,600886,2023-08-04,,,0.275,CNY,akshare:stock_fhps_detail_em
108,600886,2022-07-29,,,0.1635,CNY,akshare:stock_fhps_detail_em
109,600886,2021-08-18,,,0.28,CNY,akshare:stock_fhps_detail_em
110,600886,2020-08-14,,,0.2453,CNY,akshare:stock_fhps_detail_em
111,600886,2019-07-30,,,0.225,CNY,akshare:stock_fhps_detail_em
112,000333,2025-11-18,,,0.5,CNY,akshare:stock_fhps_detail_em
113,000333,2025-06-12,,,3.5,CNY,akshare:stock_fhps_detail_em
114,000333,2024-05-15,,,3.0,CNY,akshare:stock_fhps_detail_em
115,000333,2023-06-01,,,2.5,CNY,akshare:stock_fhps_detail_em
116,000333,2022-06-02,,,1.700894,CNY,akshare:stock_fhps_detail_em
117,000333,2021-06-02,,,1.600585,CNY,akshare:stock_fhps_detail_em
118,000333,2020-06-02,,,1.6,CNY,akshare:stock_fhps_detail_em
